Citations,Percentage of authors,Authors
295,0.01%,"Pedro Martinez-Julia 
 Sudha Madhavi"
294,0.01%,Paulo Mendes
293,0.02%,"Lorenzo Colitti 
 Mario Loffredo 
 Paolo Lucente"
292,0.04%,"Ben Campbell 
 Ing-Wher (Helen) Chen 
 Jon Hudson 
 Lawrence W. Conroy 
 Norman Finn 
 Orit Levin"
291,0.05%,"Anish Peter 
 Carl Williams 
 Darren Dukes 
 Iftekhar Hussain 
 Laurent Ciavaglia 
 Stéphane Bortzmeyer 
 Thomas Haynes"
290,0.01%,"Huub van Helvoort 
 Shunsuke Homma"
289,0.01%,"Arifumi Matsumoto 
 Keith Drage"
288,0.03%,"Kai Gao 
 Lenny Giuliano 
 Mark Stapp 
 Mengxiao Chen 
 Dr. Robert C. Moore"
287,0.02%,"Charlie Kaufman 
 Gregory Vaudreuil 
 Robert G. Herriot"
286,0.03%,"Alfred Hoenes 
 Gang Yan 
 Lloyd Wood 
 Rolf Winter 
 Silvano Gai"
285,0.01%,"Hao Zhou 
 Jim Bound"
284,0.03%,"Henrik Levkowetz 
 Kausik Majumdar 
 Michael Douglass 
 Muhammad Durrani 
 Stéphane H. Maes"
283,0.01%,"Merike Kaeo 
 Sharon Chisholm"
282,0.02%,"Attila Takacs 
 Rishabh Parekh 
 Ronald Henry Tse"
281,0.03%,"Dan Frost 
 Giles Heron 
 Mark P. Andrews 
 Markus Isomaki 
 Padma Pillay-Esnault"
280,0.01%,"Albert Tian 
 Jamal Hadi Salim"
279,0.02%,"Enrico Marocco 
 Jonathan Lang 
 Larry Zhu"
278,0.03%,"Andrei Gurtov 
 Larry Kreeger 
 Petri Jokela 
 Volker Hilt"
277,0.02%,"Bruce Lowekamp 
 Shawn Zandi 
 Terry Manderson"
276,0.01%,"Cameron Byrne 
 Yu Fu"
275,0.01%,"Abhay Roy 
 Telemaco Melia"
274,0.03%,"Ben Niven-Jenkins 
 Carl Wallace 
 Liuyan Han 
 Wei Pan"
272,0.02%,"Gerardo Giaretta 
 Liyan Gong 
 Venkatesan Mahalingam"
271,0.01%,"Pierre Pfister 
 高军安"
270,0.03%,"Christian Vogt 
 David Zelig 
 Jeong-dong Ryoo 
 Marco Liebsch"
269,0.02%,"Dharini Hiremagalur 
 Michael H. Mealling 
 Ping Pan"
268,0.01%,"Erik Nygren 
 Neil Jenkins"
267,0.02%,"Diego Lopez 
 Jingxuan Zhang 
 Yaakov (J) Stein"
266,0.03%,"Avshalom Houri 
 Brendan Moran 
 Robert Cole 
 Vengada Prasad Govindan"
265,0.02%,"Damien Saucez 
 Eric Mannie 
 Fei Zhang"
263,0.03%,"JinHyeock Choi 
 Nick Sullivan 
 Nitin Bahadur 
 S Moonesamy 
 Tony Finch"
262,0.02%,"Jakob Schlyter 
 Steve Kille 
 Van Jacobson"
261,0.04%,"Christian Groves 
 Colby Barth 
 Mark C. Smith 
 Robert Cole 
 Sabine Randriamasy 
 Sergio Garcia Murillo"
260,0.03%,"Andrew Mortensen 
 David Binet 
 Dick Hardt 
 Raymond Zhang 
 Richard Scheffenegger"
259,0.03%,"Aamer Akhter 
 Arnt Gulbrandsen 
 Melinda Shore 
 Yaacov Weingarten 
 Yunan Gu"
258,0.01%,Koen De Schepper
257,0.01%,Jonathan Hardwick
256,0.02%,"Jim Gettys 
 Lorenzo Miniero 
 Robert Varga"
255,0.01%,"Anders Brandt 
 Kishore Tiruveedhula"
254,0.03%,"Atsushi Kobayashi 
 Bert Greevenbosch 
 Leo Vegoda 
 Tomohiro Otani"
253,0.02%,"Pete McCann 
 Rifaat Shekh-Yusef 
 Swadesh Agrawal"
252,0.03%,"Alexander Pelov 
 Hidetoshi Yokota 
 John Gray 
 Thierry Ernst"
251,0.05%,"Chittimaneni Kk 
 Gunnar Hellstrom 
 Dr. Juha Heinanen 
 Robert Cragie 
 Stefan Winter 
 Stephen L. Casner 
 Tom Jones 
 Yang Shi"
250,0.01%,"Martin Horneffer 
 Ying Cheng"
249,0.01%,"James M. Snell 
 Ondřej Surý"
248,0.03%,"Daniel Petrie 
 Jong-Hyouk Lee 
 Kim Kinnear 
 Myung-Ki Shin"
247,0.01%,"Magnus Nyström 
 Simon Pietro Romano"
246,0.01%,Syam Madanapalli
245,0.04%,"Gary S. Malkin 
 Giovanni Martinelli 
 Hongjun Zhai 
 Mark Crispin 
 Mustapha Aissaoui 
 Takuya Miyasaka"
244,0.01%,"David Schwartz 
 Tim J. Melanchuk"
243,0.01%,"Mike Shand 
 Thomas Schierl"
242,0.01%,"Juliusz Chroboczek 
 Orie Steele"
241,0.02%,"Andrew Stone 
 John Vollbrecht 
 Markus Stenberg"
240,0.02%,"Matthew A. Miller 
 Nick Buraglio 
 Richard Woundy"
239,0.04%,"Bhatti Sn 
 Brian Adamson 
 Han Li 
 Hariharan Ananthakrishnan 
 Jinwei Xia 
 Steve Donovan"
238,0.04%,"Dirk Steinberg 
 Evangelos Haleplidis 
 George Tsirtsis 
 Pierre Levis 
 Robert Hancock 
 Yang Zhao"
237,0.01%,"Arun Viswanathan 
 Len Ciavattone"
236,0.02%,"George Gross 
 Hang Shi 
 Tom Hiller"
235,0.03%,"Amit Dass 
 David Mitton 
 Mark C. Smith 
 Massimo Nilo 
 Orly Nicklass"
234,0.02%,"Anwar A. Siddiqui 
 Chris M. Lonvick 
 Erik Wahlstroem"
233,0.03%,"Marc Lasserre 
 Martin Dolly 
 Scott Poretsky 
 Shaowen Ma 
 Tim Polk"
232,0.01%,Kristofer Sandlund
231,0.01%,"Edward Lewis 
 Tom Pusateri"
230,0.02%,"Cleveland Mickles 
 Gerhard Muenz 
 Robin Iddon"
229,0.03%,"Kwok Chan 
 Vina Ermagan 
 Yihao Jia 
 Zehn Cao"
228,0.02%,"Lei Wang 
 Maoke Chen 
 Rajiv Papneja"
227,0.05%,"Anthony Chan 
 Derek M. Yeung 
 Ivan Arce 
 Dr. Nathaniel S. Borenstein 
 Nicolas Montavont 
 Roque Gagliano 
 Xiaoming Fu"
226,0.02%,"Balázs Lengyel 
 Cedric Aoun 
 Markku Kojo"
225,0.05%,"Bharat Joshi 
 Guillermo Gont 
 Jim Reid 
 John Dickinson 
 Miika Komu 
 Sanjay Mishra 
 Willem Toorop"
224,0.01%,"Joe Clarke 
 Nan Wu"
223,0.03%,"Annabelle Backman 
 Christopher Bucci 
 Nevil Brownlee 
 Ruiquan Jing"
222,0.02%,"Dave Cridland 
 Dr. Grenville Armitage 
 Roland Schott"
221,0.03%,"Hing-Kam Lam 
 Jean-Francois Mule 
 Michael Smith 
 Rick van Rein"
220,0.02%,"Aaron Parecki 
 David Dolson 
 Rene Struik"
219,0.05%,"Alberto Rodriguez-Natal 
 Elisa Boschi 
 Kaj Tesink 
 Mark Watson 
 Matt Holdrege 
 Nirmala Shenoy 
 Srihari R. Sangli"
218,0.03%,"Hendrik Brockhaus 
 Josh Howlett 
 Malcolm Betts 
 Mike Koldychev 
 Sathya Narayanan"
217,0.03%,"Eduardo Cardona 
 Kohei Shiomoto 
 Patrick McManus 
 Scott Mansfield 
 Senthil Sathappan"
216,0.03%,"Haseeb Akhtar 
 J. William Atwood 
 Michael A. Ramalho 
 Paolo Volpato"
215,0.03%,"Georgios Z. Papadopoulos 
 Lyndon Ong 
 Madjid Nakhjiri 
 Sasha Vainshtein"
214,0.01%,Roberta Maglione
213,0.05%,"David Levi 
 Denis Pinkas 
 Joachim Fabini 
 Jon Saperia 
 Joseph P. Macker 
 Mohammed Umair 
 Owen Friel 
 Wei Wang"
212,0.03%,"David Singer 
 Eddie Kohler 
 Neil Cook 
 Spencer Giacalone"
211,0.03%,"Brian Dickson 
 Eva Leppanen 
 Frank Kastenholz 
 Thomas Dreibholz 
 Tore Anderson"
210,0.03%,"Eric Osborne 
 Jeffrey E. Altman 
 Massimiliano Pala 
 Rahul Jadhav 
 Stefaan De Cnodder"
209,0.01%,"Hernâni Marques 
 Victor Fajardo"
208,0.02%,"Allan Rubens 
 Christopher Dearlove 
 Salman Baset"
207,0.03%,"Eiji Oki 
 Kevin Smith 
 Nik Teague 
 Praveen Muley"
206,0.04%,"Gopal Dommety 
 Hong-Ke Zhang 
 Jakob Heitz 
 Jiang Wenying 
 Mouli Chandramouli 
 Roland Bless"
205,0.02%,"Antonio Pastor 
 Gustavo Lozano Ibarra 
 Oscar Garcia-Morchon"
204,0.03%,"Adam Barth 
 Dean Willis 
 Larry Blunk 
 Vic Liu"
203,0.03%,"Allison Mankin 
 Arturo L. Servin 
 Ebben Aries 
 Olaf Bergmann 
 Spencer Shepler"
202,0.01%,Reese Enghardt
201,0.03%,"Boris Khasanov 
 Christian Schmutzer 
 Fan Yongbing 
 K. Ramakrishnan 
 Ray van Brandenburg"
200,0.05%,"Chaitanya Yadlapalli 
 Eric Kinnear 
 Guoying Zhang 
 Jessica Fitzgerald-McKay 
 Kevin D'Souza 
 Pasi Sarolahti 
 Saverio Niccolini"
199,0.01%,"Carl W. Kalbfleisch 
 James D. Carlson"
198,0.04%,"Johan Stenstam 
 Mohamad Badra 
 Richard Ejzak 
 Richard Patterson 
 Simo Veikkolainen 
 Tom Harrison"
197,0.02%,"Kerry Lynn 
 Matt Larson 
 Qin Wang"
196,0.03%,"Alex Conta 
 Cheenu Srinivasan 
 Isidor Kouvelas 
 Robert Kebler"
195,0.05%,"Eric Levy-Abegnoli 
 Farid Adrangi 
 Dr. James V. Luciani 
 Mark Bakke 
 Meiling Chen 
 Robert Stepanek 
 Zhe Lou"
194,0.07%,11
193,0.01%,"Li Zhang 
 Ludwig Reiner"
192,0.05%,"Alex D. Zinin 
 Bruce Lilly 
 Bryan Ford 
 Geoff Hunt 
 Jean-Marc Valin 
 Josh Tseng 
 Tommy Jensen"
191,0.05%,"Dayong Guo 
 John Morris 
 Laura Liess 
 Mark A. West 
 Pushpasis Sarkar 
 Ryan Moats 
 Samuel Erdtman 
 Senthil Dhanaraj"
190,0.05%,"Andrew Alston 
 Dan York 
 David T. Perkins 
 Jens Finkhäuser 
 Mikko Lonnfors 
 Paul Quinn 
 Uri Elzur"
189,0.07%,"Chaode Yu 
 David von Oheimb 
 Jan Seedorf 
 Michael J. Jenkins 
 Michel Veillette 
 Nan Geng 
 Shai Herzog 
 Tatsuya Hayashi 
 Wei Chuang 
 Yoram Bernet"
188,0.03%,"Bin Yeong Yoon 
 Jiazi Yi 
 Rich Salz 
 Ruri Hiromi"
187,0.06%,"Balaji Venkat Venkataswami 
 Brian Bidulock 
 Bron Gondwana 
 Dave Katz 
 Dominique Barthel 
 Patricia Thaler 
 Randell Jesup 
 Seil Jeon 
 Stefanie Gerdes"
186,0.05%,"Charles Monia 
 Gabriel Lopez-Millan 
 Kenichi Nagami 
 Paul Mattes 
 Prayson Pate 
 Toby Moncaster 
 Xavier de Foy"
185,0.02%,"Charles Shen 
 Gábor Lencse 
 Scott McGlashan"
184,0.03%,"Charles Eckel 
 Christoph Paasch 
 Michael StJohns 
 Richard Stastny 
 Xiaodong Duan"
183,0.02%,"Maciek Konstantynowicz 
 Martin Furuhed 
 Sumanth Channabasappa"
182,0.07%,11
181,0.02%,"Ahmad Muhanna 
 Cui Wang 
 Subha Dhesikan"
180,0.02%,"Francis Dupont 
 Lionel Morand 
 SungHoon Seo"
179,0.04%,"Bruno Rijsman 
 George M. Jones 
 Ian Chakeres 
 Jun Kyun Choi 
 Kazuho Oku 
 Yuanxiang Qiu"
178,0.04%,"John W. Flick 
 John IETF Gilmore 
 Marcin Siodelski 
 Nicolas Kuhn 
 Nikos Mavrogiannopoulos 
 Parviz Yegani"
177,0.03%,"Aldrin Isaac 
 Daniel Simon 
 Hongji Zhao 
 Min Ye"
176,0.02%,"Chang Liu 
 Harry Lewis 
 Jean-Francois Bouquier"
175,0.03%,"Alan Ford 
 Alan O'Neill 
 Costin Raiciu 
 Luis Munoz 
 Richard P. Draves"
174,0.03%,"Alex Bogdanov 
 Alex Galis 
 Guangpeng Li 
 Mike West 
 Yutaka Oiwa"
173,0.07%,11
172,0.05%,"Anna Brunstrom 
 Chris Metz 
 Fabio Peruzzini 
 Igor Curcio 
 Nagendra Modadugu 
 Sheila Frankel 
 Yanick Pouffary 
 james woodyatt"
171,0.01%,Yacine El Mghazli
170,0.02%,"Charles Lindsey 
 Jan Melen 
 Jeffrey Yasskin"
169,0.05%,"Dante Pacella 
 Franco Travostino 
 Lancheng Qin 
 Matthias Kovatsch 
 Meadhbh Hamrick 
 Sina Mirtorabi 
 Steven Bellovin"
168,0.05%,"Dan Garcia-Carrillo 
 Jozef Babiarz 
 Kris Pister 
 Lei Zhu 
 Peng Wu 
 Shahram Davari 
 Wendy Roome"
167,0.03%,"Frank Dawson 
 Lorenzo Vicisano 
 Ron Parker 
 Zhiwei Yan"
166,0.04%,"John Moy 
 Mark Grayson 
 Peter van Dijk 
 Richard ""Footer"" Foote 
 Seok Joo Koh 
 Tobias Guggemos"
165,0.06%,"Alessandro D'Alessandro 
 Börje Ohlman 
 Hugh Harney 
 Linjian Song 
 Ori Finkelman 
 Puneet Agarwal 
 Xinpeng Wei 
 Yaron Y. Goland 
 Yunfei Zhang"
164,0.05%,"David Benjamin 
 Hiroyasu Sugano 
 Hua-chun Zhou 
 Thomas Stockhammer 
 Ting Ao 
 Trevor Burbridge 
 XiPeng Xiao"
163,0.05%,"Edward Beili 
 Enno Rey 
 Eric Osterweil 
 Fan Zhao 
 Hui Liu 
 Linlin Zhou 
 Teco Boot"
162,0.03%,"Alex Brotman 
 Chris W. Apple 
 Ralph Holz 
 Tobias Heer"
161,0.01%,Kaushik Narayan
160,0.05%,"Abraham Chen 
 Dinesh Dutt 
 Gavin Brown 
 Jesse Gross 
 Mark Davis 
 Rod Walsh 
 Vizdal Ales"
159,0.06%,"HariKishan Desineni 
 Jing Huang 
 Kumiko Ono 
 Lu Huang 
 Ned Smith 
 Philipp S. Tiesel 
 Ricard Vilalta 
 Richard Barr Hibbs 
 Steven Legg"
158,0.07%,"Barak Gafni 
 Erik Kline 
 Jun-ichiro Itoh 
 Kevin J. Ma 
 Khuzema Pithewan 
 Li Xue 
 Rajesh Pazhyannur 
 Ralf Weber 
 William Mills 
 liangqiandeng"
157,0.03%,"David C Lawrence 
 David Partain 
 Huanan Chen 
 Nick Hilliard 
 Pavan Kurapati"
156,0.03%,"Chan-Wah Ng 
 Martin Dubuc 
 Per Andersson 
 Steven Bellovin"
155,0.03%,"Ashok Narayanan 
 Eve Schooler 
 Mallikarjun Chadalapaka 
 Yimin Shen"
154,0.07%,11
153,0.03%,"Abbie Barbir 
 Alberto Gonzalez Prieto 
 Hui Tian 
 Marc Mosko 
 Yubao Wang"
152,0.06%,"Bob Thomas 
 David McWalter 
 Henry Andrews 
 Michael Sweet 
 Osama Zia 
 Satya Mohanty 
 Taylor Yu 
 Tom Talpey 
 Xavier Marjou"
151,0.03%,"Chuck Mortimore 
 Claude Castelluccia 
 Jongyoon Shin 
 Michael Thomas 
 Suresh Vinapamula"
150,0.05%,"Diego Roberto Dujovne 
 Doug Royer 
 Feng Guo 
 Luke Howard 
 Marie-Jose Montpetit 
 Robert Thurlow 
 Tanja Zseby"
149,0.07%,"Dr. Carlisle Adams 
 Chen Li 
 Frank Strauss 
 Jari Urpalainen 
 Jean-Michel Combes 
 Kenneth D. White 
 Marc Krochmal 
 Peter J. Ashwood-Smith 
 Song Yongchao 
 Tim Wicinski"
148,0.08%,12
147,0.09%,14
146,0.07%,"Daniel B. Grossman 
 Daniel Huang 
 Jaime Jimenez 
 Kathleen Nichols 
 Mathis Engelbart 
 Matthijs Mekking 
 Pascal Urien 
 Shane Kerr 
 Shida Schubert 
 Tony Whyman"
145,0.07%,11
144,0.05%,"Addison Phillips 
 Chonggang Wang 
 Eduard Metz 
 Howard C. Berkowitz 
 John Lazzaro 
 Lyle Bertz 
 Youn-Hee Han"
143,0.07%,"David Miles 
 David Täht 
 Jason Sterne 
 Jason Weil 
 Paal-Erik Martinsen 
 Paul Francis 
 Qiushi Lin 
 Tianle Yang 
 Tomohiro Fujisaki 
 Dr. Vern Paxson"
142,0.07%,11
141,0.04%,"Cenk Gündoğan 
 Christian Esteve Rothenberg 
 Jaganbabu Rajamanickam 
 James Galvin 
 Ravi Ravindran 
 XingFeng Jiang"
140,0.08%,12
139,0.06%,"Daniel Fett 
 Daryl Malas 
 Fred Templin 
 Igor Lubashev 
 Muneyoshi Suzuki 
 Phil R. Karn 
 Praveen Maheshwari 
 Yves T'Joens 
 Zhiping Li"
138,0.08%,12
137,0.03%,"Aihua Liu 
 Cliff X. Wang 
 Hamid H. Ould-Brahim 
 michael ackermann"
136,0.05%,"Igor Gashinsky 
 Jamshid Mahdavi 
 Krisztian Kiss 
 Nir Baruch Sopher 
 Scott Burleigh 
 Steinthor Bjarnason 
 Stephen Morris 
 Zhuangzhuang Qin"
135,0.07%,"Andrew Allen 
 Dan Massey 
 Danny Alex Lachos Perez 
 Dorothy Stanley 
 Jayant Kotalwar 
 Jon Callas 
 Lars Westberg 
 Luis Tomotaki 
 Dr. Matt Crawford 
 Peng Fan"
134,0.05%,"Brian Wellington 
 Fan Yang 
 GuoLiang Yang 
 Matthew J. Zekauskas 
 Murtaza Chiba 
 Richard Shockey 
 Scott G. Kelly 
 Wei Meng"
133,0.05%,"David Rand 
 Kaliraj Vairavakkalai 
 Marcos Sanz 
 Pete McAllister 
 Rajan Rao 
 Robert W. Shirey 
 Shankar Raman"
132,0.07%,11
131,0.05%,"David Hankins 
 Dhanendra Jain 
 Gert Döring 
 Hans Sjostrand 
 Jerome Marcon 
 Ramanathan Kavasseri 
 Srihari Raghavan 
 Trond Myklebust"
130,0.06%,"Boku Kihara 
 Chris Grundemann 
 Doug Montgomery 
 Luigi Alfredo Grieco 
 Maciej Machulak 
 Nick Del Regno 
 Peter Lei 
 Roberto Polli 
 Steve Crocker"
129,0.08%,12
128,0.07%,"Alberto Garcia-Martinez 
 Domagoj Premec 
 Fernando Pereniguez-Garcia 
 Greg Hudson 
 Heidi Ou 
 Katrin Hoeper 
 Robert E. Gilligan 
 Safiqul Islam 
 Tom VanCaenegem 
 Will Ivancic"
127,0.07%,11
126,0.07%,11
125,0.07%,"Claudio Porfiri 
 Dong Yang 
 Hans-Jörg Happel 
 Ian Brown 
 Jiagui Xie 
 Ke Xu 
 Kenneth Cartwright 
 Ning Zong 
 Pradeep Jain 
 Roger Carney"
124,0.05%,"Brandon Williams 
 Ilya Varlashkin 
 Jason Fischl 
 Kevin Gibbons 
 Simon Blake-Wilson 
 Surendra Kumar 
 Vach Kompella"
123,0.07%,"Adam W. Montville 
 Jian Chen 
 Koen Vos 
 Masayuki Kanda 
 Dr. Raj Yavatkar 
 Roberto Peon 
 Rudolf Brandner 
 Wataru Imajuku 
 Wei Cao 
 Yuehua Wei"
122,0.05%,"Dr. Alex Gouaillard 
 Bill Manning 
 Cheng Zhou 
 David Mandelberg 
 Gary Ratterree 
 Michael Pierce 
 Weiwei Yang"
121,0.10%,15
120,0.08%,12
119,0.07%,11
118,0.05%,"Einar Nilsen-Nygaard 
 Kaname Nishizuka 
 Mark Lentczner 
 Matt Hartley 
 Paul S. Traina 
 Wenhu Lu 
 Xiaotian Fan 
 Youenn Fablet"
117,0.08%,12
116,0.06%,"Alessandro Capello 
 Arjun Sreekantiah 
 Chong Feng 
 Cong Liu 
 Dinesh Dutt 
 Kiran Nagaraj 
 Stan Ratliff 
 Sunil Kalidindi 
 Sye Keoh"
115,0.09%,14
114,0.07%,11
113,0.12%,18
112,0.06%,"Alejandro Pérez-Méndez 
 Chip Popoviciu 
 David Hancock 
 Jeffrey I. Schiller 
 Jiang Dong 
 Nimrod Aviram 
 Olof Hagsand 
 Shay Zadok 
 Tuomas Aura"
111,0.07%,11
110,0.09%,13
109,0.06%,"Bill Marshall 
 Cary Bran 
 Kenichi Mase 
 Mukul Srivastava 
 R. (Miek) Gieben 
 Ravi Chandra 
 Roy Pereira 
 Vesa Torvinen 
 YangWoo Ko"
108,0.13%,19
107,0.11%,17
106,0.09%,13
105,0.14%,21
104,0.13%,20
103,0.12%,18
102,0.13%,20
101,0.09%,14
100,0.09%,13
99,0.15%,22
98,0.12%,18
97,0.13%,19
96,0.09%,13
95,0.11%,16
94,0.13%,20
93,0.11%,16
92,0.16%,24
91,0.09%,13
90,0.16%,24
89,0.11%,17
88,0.11%,17
87,0.20%,30
86,0.15%,22
85,0.13%,19
84,0.19%,29
83,0.11%,17
82,0.17%,26
81,0.20%,30
80,0.19%,28
79,0.14%,21
78,0.17%,26
77,0.16%,24
76,0.17%,26
75,0.18%,27
74,0.18%,27
73,0.14%,21
72,0.18%,27
71,0.23%,34
70,0.17%,26
69,0.25%,37
68,0.15%,23
67,0.23%,34
66,0.22%,33
65,0.22%,33
64,0.23%,34
63,0.12%,18
62,0.24%,36
61,0.22%,33
60,0.29%,43
59,0.17%,26
58,0.32%,47
57,0.26%,39
56,0.32%,48
55,0.34%,50
54,0.26%,39
53,0.30%,45
52,0.30%,45
51,0.36%,54
50,0.32%,47
49,0.33%,49
48,0.34%,50
47,0.34%,51
46,0.42%,62
45,0.44%,66
44,0.40%,59
43,0.47%,70
42,0.34%,50
41,0.38%,57
40,0.51%,76
39,0.39%,58
38,0.58%,87
37,0.66%,99
36,0.68%,101
35,0.64%,96
34,0.58%,87
33,0.60%,90
32,0.66%,98
31,0.73%,109
30,0.75%,112
29,0.90%,134
28,0.89%,133
27,0.85%,127
26,1.01%,151
25,0.92%,137
24,1.05%,156
23,1.07%,160
22,1.19%,178
21,1.23%,183
20,1.15%,171
19,1.55%,231
18,1.64%,244
17,1.62%,242
16,1.84%,275
15,1.68%,250
14,2.12%,316
13,2.39%,356
12,2.53%,378
11,2.96%,442
10,3.23%,482
9,3.12%,466
8,4.08%,609
7,4.16%,621
6,4.83%,720
5,4.48%,668
4,4.68%,698
3,3.91%,583
2,3.78%,564
1,2.43%,362

